index,word,meaning
21,abaixa-luz,"s. m. a) (peça para preservar os olhos da luz forte de vela, candeeiro, lâmpada, etc.; abajur) xihúngútárívóni (xi-svi). b) (peça que faz a luz de lâmpada, candeeiro, vela, etc. incidir sobre determinada área) xikómbétárívóni (xi-svi)."
22,abaixamento,"s. m. a) (acto ou efeito de abaixar) kuxixa (ku), nxixo (mu-mi). b) (acto ou efeito de abaixar-se) kuxika (ku), nxiko (mu-mi)."
23,abaixar,"1. v. t. a) (fazer descer) kuxikisa, kuyehlisa, kurhelelisa v. caus. b) (diminuir) kupúmbá; kuhúngútá v. t. 2. v. i. a) (descer) kuxika, kuyehla, kurhelela v. i. b) (diminuir) kupúmbéká, kuhúngúká v. neutr. pass. c) (assentar, descer ao nível do chão ou para o fundo do recipiente (pó, poeira, sedimento)) kukhima, kudzíká v. i. 3. v. pron. a) (curvar-se, dobrar-se) kukorhama | kukarhama v. i. b) (agachar-se) kubvutama, kuqochama v. i."
24,abaixa-voz,s. m. (dossel que cobre o púlpito; guarda-voz) lwángwána rá xílúvélo (ri-ma).
25,abaixo,"1. adv hansi adv. 2. intery, awúfe interj., abáxa interj. (P). Ex.: Abaixo o alcoolismo! Áwúfe wá vúdakwá! / Abáxa vudakwá!."
26,abaixo-assinado,s. m. mukhwepa wá kusáyíníwa hí vanyíngi (mu-mi).
27,abajur,s. m. xihúngútárívóni (xi-svi).
28,abalada,"s. f. a) (saída de um lugar; partida) kusuka, kufámbá (ku). b) (corrida, correria) kutsutsuma, kutsutsumatsutsuma (ku)."
29,abalado,"adj. a) (que não está firme; mal seguro) -á kutsékátséka b) (abatido) -á kutsána, -á gome, -á kuthóthóvála loc. adj. c) (comovido) -á kutsékátsékísíwa, -á kúnyányúkélíwa loc. adj., -á kúpfúrha loc. adj. (fig.) [cf. arder]."
30,abalamento,"s. m. kutsékátséka (ku), ntsékántséko, nchínánchínu (mu-mi)."
31,abalançar,"1. v. t. a) (pesar na balança) kupeza v. t. (P) pesar. b) (avaliar, calcular) kukumbetela, kuringanyeta, kupimanisa v. t. c) (mover alternadamente em sentidos opostos; oscilar, balançar) kuchíkínyá, kuchíngínyá v. t. d) (balançar, equilibrar) kuringanisa vu. caus. e) (impelir, impulsionar) kusumeta v. t. 2. v. i. (oscilar, balançar) kuncíkínyá | kuchikínyá v. i. || [abalançar como o pêndulo]: kudzéládzéla, kuncínkáncínka v. i. 3. v. pron. a) (oscilar, balançar) kuchíkínyá v. i. b) (atrever-se) kutíyá, kusíngítá v., kutihóxá, kutikázá v. pron."
32,abalar,"1. v. t. a) (abanar) kutsékátsékísa, kudzíngínyísa, kujuja, kuhlakahla, kuníngáníngísa vu. caus. b) (demolir, destruir) kuhirimuxa; kuhohlota, kutsékátsékísa v. caus. c) (comover) kujuja; kukóká, kukhómá mbilú v. t. d) (diminuir ou tirar a resistência de; abater) kutshova, kuwisa nkorha v. t. e) (afectar, atingir) kukhumba, kuhenya; kukuma 2. v. i. a) (sair, partir deixando, abandonando) kusuka; kusíyá v. i. b) (fugir) kubáléká v. i. 3. v. pron. kukhómíwá mbilú v. pass., kupfurha i."
33,abalizado,"adj. a) (marcado ou sinalizado com balizas) -á kúfúngiwa, á kubíwá míndzélékánu loc. adj. b) (de grande competência; idôneo competente) -á kutívá, -á vutíví loc. adj."
34,abalizar,"1. v. t. a) (balizar, assinalar, marcar) kufunga u. t. kumarkara v. t. (P) marcar. b) (traçar, assinalar) kupimela, kubélá ndzélékánu v. t. 2. v. pron. (adquirir notável competência; distinguir-se, sobressair) kuhúméléla v. i."
35,abalo,"s. m. a) (estremecimento, trepidação, tremor) kutsékátséka (ku), ntsékántséko, nchínánchínu (mu-mi). c) (grande agitação ou transformação; desordem) mpfilúmpfilú, nghumbhe (yi-ti). d) (perturbação de ânimo; emoção forte) nyanyuku, ntlhaveko (mu-mi). e) (partida, ida, abalada) kusuka, kufámbá (ku)."
36,abalroamento,"s. m. (embate) kutlúmbá, kugalha; kutlúmbáná, kugalhana (ku)."
37,abalroar,"v. t. (embater) kugalha, kutlúmbá, kuchayisa v. t."
38,abanação,"s. f. a) (acto ou efeito de abanar) kuníngínyá, kutsékátsékísa, kuhlakahla (ku). b) (acto ou efeito de abanar-se) kutsékátséka (ku)."
39,abanadela,"s. f. kuníngínyá, kutsékátsékísányána, kuhlakahlanyana (ku), níngínyo, ntsékántséko, nhlakahlu (mu-mi)."
40,abanado,"adj. a) (ventilado com abano) -á kúkúpétélíwa loc. adj. b) (agitado, sacudido) -á kutsékátsékísíwa, -á kúhlákáhlíwa loc. adj."
41,abanador,"adj. & s. m. (abano) xikupetelo, xipéléngwána (xi-svi)."
42,abanadura,"s. f. kuníngínyá, kutsékátsékísányána, kuhlakahlanyana (ku), nínginyo, ntsékántséko, nhlakahlu (mu-mi)."
43,abanamento,"s. m. a) (ato ou efeito de abanar) kutsékátsékísa, kuhlakahla (ku). b) (acto ou efeito de abanar-se) kutsékátséka (ku)."
44,abana-moscas,s. m. (enxota-moscas) xihungatinhónganá (xi-svi).
45,abananado,"adj. a) (semelhante à banana) -á kufána ní kompfá, -á ku ingí í kompfá loc. adj. b) (mole, brando) -á kumófúka, -á kuwólóvá loc. adj. c) (fig.) (apalermado, tolo) -á ndhínya, á xíphíkúphúku loc. adj."
46,abananar,"1. v. t. (tornar banana ou tolo) kuphuntisa v. caus. 2. v. pron. (tornar-se banana ou tolo) kuphunta, kutsakana v. i."
47,abanão,"s. m. kudzividza (ku), ndzhividzo (mu-mi)."
48,abanar,"1. v. t. a) kuhlakahla; kudzividza v. t., kutsékátsékísa, kuníngáníngísa, kukútlákútlísa v. caus. b) (agitar, por exemplo, os seios) kutlhékútá v. caus. c) (abanar, por exemplo a cauda) kupeluta, kusuluta v. caus. d) (agitar, por exemplo, uma bandeira) kukupeta, kukupetela v. t. e) (ventilar com abano) kukupetela; kuhunga v. t. 2. v. i. a) (abanar, por exemplo, no balouço) kudéwúla, kuchúwélá v. i. b) (agitar-se. Diz-se dos seios.) kutlhékúká v. i. c) (oscilar, por exemplo, uma mesa, uma cadeira, etc.) kuchíkínyá, kucínácína, kutsékátséka | kurbékárbéka v. i. d) (flu-tuar, por exemplo, a bandeira no mastro) kuveluka, kupeluka, kupelukela v. i."
49,abandalhação,"s. f. a) (acto ou efeito de abandalhar) kutsóngáháta, kudádáválísa (ku), kuchipisa (ku). (1) cheap. b) (acto ou efeito de abandalhar-se) kutixíxá, kutidádáválísa (ku), kutichipísa (ku). ( ) cheap. c) (acção de bandalho) vuhánsí, vudádáváli (vu)."
50,abandalhamento,"s. m. (acto ou efeito de abandalhar) kutsóngáháta, kudádáválísa (ku), kuchipisa (ku). (1) cheap. b) (acto ou efeito de abandalhar-se) kutixíxá, kutidádáválísa (ku), kutichipísa (ku). ( ) cheap. c) (acção de bandalho) vuhánsí, vudádáváli (vu)."
51,abandalhar,"1. v. t. (tornar reles, desprezivel) kutsóngáháta, kudádáválísa v. caus., kuchipisa v. caus. (1) cheap, kususa risímá v. t. 2. v. pron. (tornar-se reles; dar-se ao desprezo) kutisúsá risímá, kutixíxá, kutidádáválísa v. pron., kutichipísa v. pron. (1) cheap."
52,abandonado,"1. adj. a) (posto de lado; desamparado) -á kútshíkíwa loc. adj., -á kúchípísíwa loc. adj. (1) cheap. b) (sem trato, maltratado) -á kulhémbá; -á kuxáníséka loc. adj. c) (Diz-se daquilo a que se renunciou, de que se desistiu.) -á kutsúkúlíwa, -á kútsúvíwa, -á kubálékíwa loc. adj., -á kúchípísíwa loc. adj. (1) cheap. 2. s. m. a) (indivíduo desamparado, abandonado) mulhémbí, mutshikíwa, musíyiwa, mutsúkúliwa, muchipísiwá (mu-va), xirhómbe (xi-svi). b) (coisa desamparada, abandonada) xilhémbí, xitshikíwa, xisíyiwa, xitsúkúliwa (xi-svi)."
53,abandonamento,"s. m. a) (acto ou efeito de abandonar) kutshika, kubáléká (ku). b) (acto ou efeito de abandonar-se) kutitshíká, kutidádáválísa, kutichipisa (ku). c) (estado ou condição de quem ou do que é ou está abandonado, desamparado) vurhómbe, vulhémbhí (vu). d) (atitude de quem vive ou como que vive abandonado) vutitshikéti, vutidádáválísi, vutichipísi (vu)."
54,abandonar,"1. v. t. a) (deixar, largar) kutshika, kubáléká v. t. b) (deixar só; desamparar) kutshika ámpfhukéni; kusíyá, kufúlárhéla v. t. c) (renunciar a; desistir de) kutsúkúlá, kutsuva v. t. d) (não se interessar por; descuidar) kulán'wá, kutshiketa; kunganáki v. t. 2. v. pron. a) (entregar-se, dar-se) kutinyíkétéla v. pron. b) (dar-se ao desprezo) kutitshíká, kutidádáválísa v. pron., kutichipísa v. pron. (1) cheap."
55,abandonável,"adj. 2 gen. -á kútshíkéka, -á kútshíkétéka loc. adj."
56,abandono,"s. m. a) (acto ou efeito de abandonar) kutshika (ku). b) (acto ou efeito de abandonar-se) kutitshíká (ku). c) (estado ou condição de quem ou do que é ou está abandonado, largado, desamparado) vurhómbe, vulhémbhí (vu). d) (atitude, maneiras, de quem vive ou como que vive abandonado) vutitshikéti (vu)."
57,abanicar,1. v. t. (abanar com leque) kukupetela v. t. 2. v. pron. (abanar-se com leque) kutikupétéla v. pron.
58,abanico,s. m. xikupetelo (xi-svi).
59,abano,"s. m. a) (abanador) xikupetelo, xipéléngwána (xi-svi). b) (acto ou efeito de abanar) kutsékátsékísa, kuhlakahla (ku). c) (acto ou efeito de abanar-se) kutsékátséka (ku)."
60,abar,v. t. kuvékélá svígébégébe v. t.
61,abarbatar,"v. t. a) (surripiar) kuxwápá v. t. b) (apanhar) kutéká v. t. c) (Moç.) (sacar da mão e apanhar no ar, na brincadeira do barabatissa) kubarabatisa v. t. (P)."
62,abarcar,"v. t. kuyaneta | kuyeneta, kurhendzela; kukátsá, kupátsá, kufikela v. t., kuhlanganisa | kutlhanganisa v. caus."
63,abarracamento,"s. m. a) (acção ou efeito de abarracar) kudzima mintsóngá, kugova (ku). b) (conjunto de barracas) mintsóngá (mi), magovéla (ma)."
64,abarracar,1. v. t. a) (armar barracas em) kudzima mintsóngá v. i. b) (instalar em barracas) kulóngéla mintsóngéni v. t. 2. v. i. & pron. (recolher-se em barracas) kugova mintsóngéni; kuhanya mintsóngéni v. i.
65,abarrotado,"adj. -á kutálá, -á kuhábza, -á kuhóntlo, -á kumpfi, -á kuntlí loc. adj."
66,abarrotamento,s. m. kujinja (ku).
67,abarrotar,"1. v. t. (encher em demasia; atestar) kudliviseta v caus., kujinja v. t. 2. v. pron. (encher-se de comida; fartar-se, empanturrar-se) kub'okwa, kuxúrha úku ndé, kuxúrha úku ntlí i."
68,abas,s. f. pl. (arredores) mivundzamanu (mi).
69,abasia,s. f. (incapacidade de andar em consequência de distúrbio de coordenação muscular) riwómámílénge (ri).
70,abastado,"1. adj. a) (cheio de víveres, do necessário) -á kufúwá, -á kulóngá loc. adj. b) (endinheirado) -á xipfundzi, -á xigogo, -á kúgánya loc. adj. 2. s. m. (indivíduo abastado, endinheirado) xipfundzi, xigogo (xi-svi), nyatímalé (mu-va), nkumi, nghamúla (yi-ti) xikumi (xi-svi)."
71,abastamento,s. m. (provimento farto; abundância) ntálú (mu-mi).
72,abastança,"s. f. a) (provimento farto; abundância) ntálú (mu-mi). b) (abundância nas colheitas) nalá (vi) (sem plural), ndzálú, mfúnú (mu-mi). c) (riqueza, haveres) rifúwó, xumá, tshomba (ri-ma). d) (vida cómoda, confortável) vupfundzi, vunghamúla (vu)."
73,abastar,"v. t. (prover ou munir do necessário, fornecer) kulóngísá vu caus., kunyíkélá, kunyíká v. t."
74,abastardar,1. v. t. (fazer degenerar) kuwónhá v. t. 2. v. pron. kuwónhéká v. i.
75,abastecedouro,s. m. vulóngísélo (vu).
76,abastecer,"1. v. t. a) (prover ou munir do necessário, fornecer) kulóngísá v. caus., kunyíkélá, kunyíká v. t. b) (meter, por exemplo, combustível nos automóveis) kubaxtesera v. t. (P). 2. v. pron. kulóngá v. i. || [abastecer-se de algo com alguma abundância : kuchímbúlát. Ex.: Abasteceram-se bem de milho. Váchímbúlé mávelé."
77,abastecimento,"s. m. kunyíkélá, kulóngísá (ku), nyíkélo (mu-mi), baxtesiméntu (ri-ma). (P)."
78,abastoso,"adj. (endinheirado, rico) -á xipfundzi, á xigogo, á kúgánya, á nghamúla loc. adj."
79,abate,"s. m. a) (derrube, por exemplo, de árvores) ntsémélélo (mu-mi). b) (acto ou efeito de abater animais para o consumo (como gado, aves, etc.)) kutlhava (en), ndlháyélélo, nsíláhu (mu-mi). c) (abatimento, por exemplo, de preço) ntshovo, mpúmbú, nxixo (mu-mi)."
80,abater,"1. v. t. a) (derrubar, por exemplo, uma árvore) kutsémá v. t., kugáwúlá v. t. (Z). || (abater, por exemplo, um edificio) kudiliza, kukhúngúmúla v. t. || (abater, por exemplo, um animal) kudláyá, kusíláhá, kutlhava v. t. || (abater, por exemplo o inimigo, pondo-o em debandada) kuhlúlá v. t. b) (abalar, tornar triste) kutshova; kuwisa v. t. c) (descontar, por exemplo, no preço ou no salário) kupúmbá, kutsémá, kuhúngúlá v. t., kudixkontara v. t. (P) descontar. 2. v. pron. a) (ruir, como o tecto de uma casa velha) kubórókéla v. i. b) (ir-se abaixo devido, por exemplo, a uma má notícia) kudavuka v. neutr. pass."
81,abatido,"adj. a) (abaixado, derrubado) -á kúwísíwa; -á kúxíxíwa, á kúyéhlísíwa loc. adj. b) (fraco, enfraquecido) -á kutsána, á gome, -á kuthóthóvála loc. adj. || [sentir-se abatido]: kutsana, kuvá ní gomé, kuthóthóvála v. i."
82,abatimento,"s. m. a) (desconto, por exemplo, no preço ou no salário) ntshovo, mpúmbú, nxixo (mu-mi), dexkóntu (ri-ma). (P) desconto."
83,abaulado,adj. -á kugovekelá ndzéni; -á xirhúndzú loc. adj.
84,abaular,"v. t. kukhotselá ndzéni, kunyíká vúndzéni v. t."
85,abc,| á-bê-cê s. m. lifabétu (ri-ma). P alfabeto.
86,abcesso,"s. m. rhúmbá thúmbá (ri-ma), xipfimbí (xi-svi)."
87,abdicação,v. t. nyíkélá (ku). kutshika; kutsúkúlá;.
88,abdicador,adj. & s. m. mutshiki; mutsúkúlí (mu-va).
89,abdicar,v. t. kutshika; kutsúkúlá; kunyíkélá v. t. kutshikela v. apl.
90,abdicável,"adj. 2 gen. -á kutshíkéka, á kutsúkúléka; -á kufánélá kútshíkíwa loc. adj."
91,abdómen,"s. m. khwíri, bzéke, rhumbu (ri-ma)."
92,abdominal,1. adj. 2 gen. -á khwírí loc. adj. 2. s. m. (exercício para o abdómen) ntólóvétákhwiri (mu-mi).
93,abdominoso,"adj. -á mukhává loc. adj., n'wárhumbu (mu-va)."
94,á-bê-cê,abc s. m. lifabétu (ri-ma). (P) alfabeto.
95,abecedar,v. t. kulongoloxa mayelanu ní lifabétu v. t.
96,abecedário,"s. m. lifabétu, alfabétu, besedi (ri-ma). (P) alfabeto."
97,abelha,s. m. nyónxi nyóxi (yi-ti).
98,abelha-da-terra,"s. f. (espécie de abelhas que nidificam no solo) mbonga monga, nhembzana | nyendzwana (yi-ti)."
99,abelha-mestra,s. f. nyónxínkósíkazi (vi-ti).
100,abelhão,s. m. vhembeleti bvembeleti (ri-ma).
101,abelheiro,s. m. mufúyi wá tinyónxí (mu-va).
102,abelhudo,"adj. (metediço) mutinghéníséli, nténgéléli (mu-va)."
103,abegoaria,s. f. (estábulo) xitevele (xi-svi).
104,abeirar,"1. v. t. a) (chegar à beira de, aproximar-se de) kutshinekela, kutshindzekela v. t. b) (fazer chegar à beira; aproximar) kutshineta kutshuneta, kutshindzeta kutshundzeta v. caus. 2. v. pron. (aproximar-se) kutshinela kutshunela, kutshindzekela | kutshunekela, kutshindzekela | kutshundzekela v. i."
105,abençoado,"adj. -á kukátéká, -á minkátéko loc. adj."
106,abençoador,"adj. & s. m. -á kukátékísa loc. adj., mukátékísi (mu-va)."
107,abençoar,v. t. kukátékísa v. caus.
108,abendiçoar,"v. t. a) (abençoar) kukátékísa v. t. b) (bendizer, glorificar, louvar) kutwálísá; kudzunisa v. t."
109,aberração,"s. f. a) (defeito, anomalia) vuléma, vugónó (vu). b) (desvario, delírio) kujamuka (ku), rihlanyi (ri)."
110,aberrante,"adj. 2 gen. -á vuléma, -á le hándlé ká ntólóvélo loc. adj."
111,aberrar,"1. v. i. (desviar-se das regras naturais) kuhámbúká, kuhómbólóka v. i. b) (ser diferente de) kuhámbáná v. i. 2. v. pron. (tornar-se diferente, esquisito) kuhámbáná, kupéngá v. i."
112,aberta,"s. f. a) (passagem estreita) mukhandlu (mu-mi); pholwá (ri-ma). b) (ocasião favorável) nkarhí (mu-mi), xikándlá (xi-svi)."
113,abertamente,adv. riváleni loc. adv.
114,aberto,"adj. -á kúpfúléka, -á kúpfúlíwa, -á kutí dla loc. adj."
115,abertura,"s. f. a) (acto ou efeito de abrir) kupfula (ku), mpfulu (mu-mi). b) (espaço aberto ou vazio formando orificio, fenda ou vão) mbhovó, mpfuleko, mukhandlu (mu-mi), pholwá (ri-ma). || [pequena abertura, por exemplo, a casa do botão, uma fenda numa cerca, etc.]: nhuva (yi-ti). c) (acesso, entrada) nyanghwá nyangwa (yi-ti), nomo (mu-mi). d) (parte superior de certas peças de vestuário por onde se mete a cabeça) nkolo (mu-mi). (ext.) [of. garganta]. e) (começo, início) kusúngúlá, kuqálá (ku). f) (solenidade inaugural; inauguração) kupfula, kukhángúlá, kuqákúlá (ku). g) (afastamento das pontas do compasso, dos pontos extremos de uma baía, golfo, enseada, etc., das vertentes de um vale, etc.) kuyánámá (ku). h) (qualidade de aberto; acessibilidade) vupfuleko, vunghénékó (vu)."
116,abespinhadiço,"adj. -á xikwatísa, -á xikwatísana, -á vúmpsáka, -á ximbilwáná loc. adj."
117,abespinhado,"adj. a) (irritado) -á kuhlúndzúká loc. adj. b) (irritadiço) -á xikwatísa, -á xikwatísana, -á vúmpsáka, -á ximbilwáná loc. adj."
118,abespinhar,1. v. t. (aborrecer) kuhlúndzúlá v. caus. 2. v. pron. kuhlúndzúká v. i.
119,abetarda,s. f. (ave pernalta) cócólwána (mu-mi).
120,abetumado,adj. -á kulemiwa hí nhlaká loc. adj.
121,abetumar,v. t. kulema hí nhlaká v. t.
122,abismal,"adj. 2 gen. -kúlúkumba adj., -á kuchávísá, -á kuhlámálisa loc. adj."
123,abismar,"1. v. t. a) (lançar no abismo) kuhoxa (áxízívéni) v. t. b) (causar admiração) kuchávísá, kuhlámálísa v caus. c) (lançar, precipitar) kuhoxa, kupétá u. t. 2. v. pron. (lançar-se ou precipitar-se no abismo) kutihóxa (áxízívéni) v. pron., kuwela áxízíveni; kupéla áxízívéni v. i."
124,abismo,"s. m. xiwá, xiziva (xi-svi), khelé rá kúyéta, géve (ri-ma)."
125,abissal,"adj. 2 gen. -kúlúkumba adj., -á kuchávísá, -á kuhlármálisa loc. adj."
126,abjecção,"s. f. vubíhí (vu), manyalá (ma)."
127,abjecto,"1. adj. -á kubíhá, á mányalá loc. adj. 2. s. m. mubíhí, mayendlasviví (mu-va)."
128,abjudicação,"v. t. (Jur.) kususela (ku), nsuselo (mu-mi)."
129,abjudicar,v. t. (Jur.) kususela v apl.
130,abjugação,"s. f. kuchunsa, kutlhantlha; kukulula (kn)."
131,abjugar,"v. t. kuchunsa, kutlhantlha; kukulula v. t."
132,abjuração,"s. f. kuduka, kusándzá, kutshika (ku)."
133,abjurador,"adj. & s. m. mudukwá, musándzí (mu-va)."
134,abjuramento,"s. m. kuduka, kusándzá, kutshika (ku)."
135,abjurante,"adj. 2 gen. & s. 2 gen. mudukwá, musándzí (mu-va)."
136,abjurar,"v. t. a) (desertar da religião que antes professava) kuduka v. i. b) (renunciar a opinião, princípios, etc.) kusándzá v. i. c) (desistir de) kutshika v. t."
137,ablactar,v. t. (desmamar) kulúmúlá v. t.
138,ablução,"s. f. a) (acto ou efeito de abluir) kuhlampsa (ku). b) (acto ou efeito de abluir-se) kuhlamba (ku). c) (banho de todo o corpo, ou de parte dele, com esponja embebida em água ou com toalha molhada) kutisúlá; kusúlá (ku). d) (Rel.) (ritual de purificação por meio da água, praticado em várias religiões; acção de lavar-se antes de uma prece) kutibasísa (ku)."
139,abluente,"1. adj. 2 gen. (próprio para abluir) -á kúhlámpsa; -á kúbásísa loc. adj. 2. s. m. (aquilo que ablui) xihlampsi, xibasisi (xi-svi)."
140,abluir,v. t. a) (lavar) kuhlampsa v. t. b) (purificar por meio da água) kubasisa v. caus. 2. v. pron. (limpar-se; purificar-se) kutibasísa v. pron.
141,ablutor,"s. m. (aquilo que ablui) xihlampsi, xibasisi (xi-svi)."
142,abnegação,"s. f. kutikárhátá, kutinyíkétá, kutinyíkétéla (ku)."
143,abnegado,"adj. -á kutikárhátá, -á kutinyíkétá, -á kutinyíkétéla loc. adj."
144,abnegar,"v. t. (renunciar a; abster-se de) kutshika v. t. 2. v. pron. (sacrificar-se, mortificar-se, em benefício de Deus, do próximo, de si mesmo) kutinyíkétá, kutinyíkétéla v. i."
145,abóbada,"s. f. a) (Arquit.) (cobertura de curvatura côncava) lwángú rá xíbákábáka (ri-ma), lwángúxihísó (ri-ma). (ext.). [cf. alguidar]. || [abóbada celeste]: xibakabaka (xi-svi)."
146,abóbora,"s. f. kwémbé, rhanga (ri-ma)."
147,aboboreira,"s. f. rikwémbé, rirhanga (ri-ti). || [folha da aboboreira]: tsavú (ri-ma)."
148,abocanhar,"v. t. a) (apanhar com a boca) kulúmá v. t. b) (rasgar ou tirar pedaços de, com os dentes) kukákátlúla, kuxúkúnhúla, kulúmá v. t. c) (comer, engolir) kujá; kuminta v. t."
149,abocar,"v. t. a) (apanhar com a boca) kulúmá v. t. b) (colocar na boca) kukhoveta v. t. c) (comer) kujá v. t. d) (desembocar em) kugóxóméta, kubóxá, kubóxélá, kubóxéketa | kubóxétéla v. i."
150,abodegar,v. t. kunchimisa v. caus.
151,abolição,"s. f. kuhélísá, kudláyá (ku)."
152,abolido,"adj. (suprimido) -á kuhélísíwa, -á kudláyíwá, -á kufá, -á kukála -ngahátírhi loc. adj."
153,abolir,"v. t. kuhélísá, kulovisa, kususa, kusúvísá v. caus., kudláyá v. t. (idiom.) [cf. matar]. Ex.: abolir a lei kudláyá náwu."
154,abonação,"s. f. kupfuna, kusékétéla (ku), xipfunu, xisékétélo (xi-svi)."
155,abonado,"adj. a) (que se abonou) -á kusékétélíwa loc. adj. b) (rico, endinheirado, abastado) -á xípfúndzi, -á xígógo, -á kúgánya loc. adj. 2. s. m. (aquele que tem dinheiro, que é rico) xipfundzi, xigogo (xi-svi)."
156,abonador,"adj. & s. m. (pessoa responsável pelo cumprimento de obrigações do abonado) muhlamuleli, muyíméli (mu-va)."
157,abonar,"v. t. a) (declarar bom ou verdadeiro; apresentar como bom) kudzuna, kusásélá v. t. b) (ficar como fiador de, ou responsável por (dívida, obrigação, compromisso, etc.); afiançar, garantir) kuyímélá, kusékétélá v. apl. c) (confirmar, aprovar) kutíyísá v. t. d) (adiantar dinheiro) kuceneka v. t. e) (dar, oferecer) kunyíká v. t. 2. v. pron. a) (fundamentar-se, apoiar-se, por ter como bom ou verdadeiro) kutisékétéla v. pron. b) (gabar-se, orgulhar-se) kutikúlísá, kutinyúngúbzísa v. pron. c) (apadrinhar-se) kutisékétéla v. pron."
