word,meaning,dailyKey
proteger,"v. t. kuvhikela, kusírhélá, kusírhéléla; kusékétéla v. t. || [proteger com cerca]: kubíyélá, kubíyéléla, kuvávélá v. t. || [proteger (a casa) dos maus espíritos]: kubíyá v. t.",20251024
arrancar,"v. t. a) (desprender da terra) kutsuvula, kusímúlá v. t. || [arrancar tufos de ervas com golpes de enxada]: kubvavula v. t. b) (fazer sair, puxando) kuhlomula; kugúlá; kurhúndzúvúla | kurbúrbúvúla, kurhúrbúmbúla v. t. c) (afastar, desviar) kususa, kukhipa v. t. d) (tirar à força) kuwutla v. t. 2. v. i. a) (partir ou sair com impeto ou de repente) kubángúlá v. i. b) (pegar, por exemplo, o motor de arranque de um automóvel) kustátá v. i. (1) start. c) (pegar, por exemplo, o motor) kuduma v. i. d) (começar) kusungula v. i.",20251025
mover,"1. v. t. a) (dar ou comunicar movimento a; pôr em movimento; mexer) kuninginya, kuninganingisa, kufambisa v. caus.. || [mover a bacia, a pelve, para frente e para trás, como em algumas danças]: kukhwinya v. i. (gross.) || [mover a bacia, a pelve, para frente e para trás, na cópula carnal]: kukhwinyeta, kukhwinyetela v. t. & i. (obsc.) b) (fazer sair do lugar) kususa, kukhipa v. t.. c) (movimentar de um para outro lado; menear) kuhlakahla, kusuluta v. t.. d) (inspirar dó ou compaixão a; comover) kujuja, kukhumba; kukhoma mbilu v. t.. 2. v. i. a) (causar comoção) kujuja, kukhumba; kukhoma mbilu v. i.. b) (ter aborto) kuxixa, kuboxa; kuholota v. i. [cf. abortar]. 3. v. pron. a) (estar ou pôr-se em movimento; mexer-se de um para outro lado) kuninginika; kufambafamba v. i.. b) (agitar-se) kutsekatseka; kutshukatshuka kuchukachuka v. i.. c) (passar, decorrer) kuhundza, kunhlula v. i.. d) (caminhar, andar) kufamba v. i.. e) (comover-se) kukhomiwa mbilu; kunyanyuka v. i.",20251026
forte,"adj. -á ntámu, -á mátimbá; -á kutíyá, -á kutháthélá loc. adj. 2. s. m. (fortaleza) khokholo (ri-ma).",20251027
escolher,"v. t. kukhétá, kulángá, kuhlawula v. t. || [escolher, tirar à sorte]: kuvhátá v. t.",20251028
receber,". t. a) kuyamukela v. t. || [receber salário, subsídio]: kuhola v. t. || [não receber (numa distribuição, por já não haver mais)]: kukíyélá v. t. || [não receber o suficiente : kukáyívéla v. i. b) (aceitar) kupfumela v. t. c) (hospedar) kurhúrhélá v. t. d) (ser alcançado ou atingido por; apanhar) kukumiwa v. pass., kukuma v. t.",20251029
casa,"s. f. a) yindlo (yi-ti). || [casa sem mobília): mpángaxa (mu-mi). || [casa de banho]: xikótí (xi-svi), vuhlambelo (vu). b) (lar, familia) munti | muti (mu-mi); kayá (ri-ma). || [casa paterna]: ká le kw- (ku). Ex.: a minha/ a nossa casa paterna ká le kwérhú Ex.: a tua/ a vossa casa paterna ká le kwénú Ex.: a sua (dele/ deles) casa paterna ká le kwávú c) (abertura por onde passa o botão) xiva (xi-svi), nhuva (yi-ti).",20251030
brisa,"s. f. svimóyáná (svi), rimóyáná (ri).",20251031
planejar,"| planear v. t. kukúngúháta, kuyáká makúngú v. t., kupúláná, kubá mpúlána v. t. (1) plan.",20251101
responder,"ut. kuhlamula, kuyangula, kuphindhula ut. || [responder a um chamamento, a um cumprimento]: kupfumela v. i.",20251102
garantir,"v. t. kutíyísá, kutshémbísá v. t. kuyendla lésváku v. i.",20251103
verde,"adj. 2 gen. a) (Diz-se da cor verde) -á rihláza loc. adj. Ex.: capulana verde. ngu-vu yá rihláza. b) (não maduro) -mbísí adj. Ex.: tomate verde ximátí ximbísí. c) (tenro, jovem - Diz-se das plantas.) -á kútsákáma loc. adj.",20251104
agir,"v. i. a) (actuar) kuyendla | kuyenca, kutirha v. i. b) (dispor de maneira que evite (dano, mal)) kusívélá, kulúmúkéla v. t.",20251105
desenhar,"v. t. a) kutsálá, kurhálá v. t., kudezenyara v. t. (P), kudórówá v. t. (1) draw. b) (conceber, projectar) kukúngúháta, kupimisa v. t.",20251106
treinar,"1. v. t. kulétélá v. t., kuternara | kutrenara v. t. (P), kutólóvéta v. caus., kuternarisa | kutrenarisa v. caus.. 2. v. i. & pron. kutitólóvéta v. pron., kuternara | kutrenara v. i. (P) .",20251107
lutar,"1. v. i. a) (combater, brigar) kulwa v. i. . b) (despender todas as forças, trabalhar com afinco, para atingir certo objectivo) kutshetshembuteka, kuvindlavindleka, kugingiriteka v. i. . c) (disputar, competir) kulwetana v. rec.. || [lutar corpo-a-corpo, engalfinhando-se, agarrando-se um ao outro]: kupshimbirisana v. rec.. || [lutar com ramos verdes, numa brincadeira entre rapazes]: kuphundlana v. rec.. || [lutar corpo-a-corpo, com paus]: kuvhikisana (hi tinhonga) v. rec.",20251108
clarificar,"v. t. (esclarecendo) kubasisa, kudlúnyátá, kudlúnyátísa v caus., kuhlamusela, kutlhávúkányísa v. t.",20251109
dócil,adj. 2 gen. -á kúnábzála loc. adj.,20251110
atentar,"s. f. a) (cuidado, zelo) nongoti (mu-mi), kutivónélá, kutibasópa (ku). b) (consideração, cortesia) vumunhu, vukumpfákumpfá (vu).",20251111
solicitar,v. t. kukómbélá v. t.,20251112
restaurar,"ut. kuyákísá, kupfúxétá, kupfúxétéla v. t.",20251113
abraço,"s. m. kuvúkárhá, kutlámárhéla, kusingarhela, kukhúmbárhéta, kukhwámárhéta, kuvúlúngéta, kuxíngá (ku), kuháká (ku). (1) hug., nsíngárhélo, nkhwámárhéto, vúlúngéto (mu-mi).",20251114
reorganizar,"u. t. kutlhela -lúlámésélá, kululamisela kámbe, kutlhela -lúnghísélá, kulunghisela kámbe, kutlhela, -kórókéta, kukórékéta kámbe v. t.",20251115
elogiar,"v. t. kubuma, kudzuna, kuthéméndéla, kukhúzélá v. t. || [elogiar, especialmente deitando loas]: kubumabumela v. t. || [elogiar em forma de poesia]: kuthópá v. t.",20251116
expor,"v. t. kukómbísá; kudlúnyátá, kuvéká riváléni, kuvéká gqekéni v. t. || [expor um assunto]: kuyandlala v. t. 2. v. pron. kutiyánéká v. pron.",20251117
crescer,"v. i. a) kukúlá v i; kumila v. i. (referente a plantas, cabelo, etc.); kukukumuka v. i. (referente a massa de pão, de bolo...) || [voltar a crescer - Diz-se das plantas]: kurhumbuka v. neutr. pass b) (fazer-se) kupámbá v. i.",20251118
claro,"adj. -á kúkhánya, á kúbása, -á kudlúnyátéka, -á kuvónéká, -á kuvóná loc. adj. Ex.: Quero uma tinta clara. Ndzilává pénde rá kuvóná. 2. adv. (com clareza; claramente) hí kúkhánya, hákunéné loc. adv. 3. interj. (sem dúvida; evidentemente) kunéné, ímpéla, vhéla interj.",20251119
subir,"1. v. t. a) (elevar) kukhwélísá, kutlhantukisa kutlhandlukisa; kudekula v. caus.. || [ajudar a subir, empurrando para cima]: kubúnyétá v. t. . b) (galgar; percorrer, subindo) kukhwélá, kutlhantuka kutlhandluka v. t.. || [subir uma encosta]: kukhupuka v. t. & i. . c) (montar, colocar-se sobre uma montada) kugada v. t. . d) (entrar para um veículo) kukhwélá v. t. . e) (aumentar o preço de) kutlakusa, kukhwélísá v. caus.. 2. v. i. a) (ascender, elevar-se) kukhwélá, kuphákámá, kutlhantuka kutlhandluka v. i.. || [subir, elevar-se. Diz-se do fumo]: kutúvíká, kumbúlúká, kumpákúká v. i. . b) (montar, colocar-se sobre uma montada) kugada v. i. . c) (aumentar de preço) kutlakuka, kukhwélá v. i.",20251120
usar,"v. t. a) (genérico) kutirhisa Ex.: usar uma charrua, usar uma peneira kutirhisa gejo, kutirhisa rihlelo. b) (ter o costume de) kutólóvéla, kukótísá v. t. || [usar de hospitalidade]: kurhúrhélá v. i. c) (pôr roupa, chapéu) kuyambala, kugqoka, kuvehela | kuveheta || [usar, amarrar o lenço à cabeça]: kumbhoza, kubóhá v. t. || [usar, amarrando à volta do corpo]: kubóhá v. t. Ex.: usar uma capulana kubóhá ngúvu. || [usar a capulana à altura do peito]: kugqaya v. t. & i. || [usar roupa curta]: kukomisa v. i., kugomisa v. i. (Ro). || [usar a roupa (calças, saias, etc.) muito abaixo da cintura]: kunyeketa, kubá nyekéta v. i.",20251121
insistir,"v. i. kusímámá, kuphikelela v. i., kukhó ideo. Ex.: Ele insiste na sua cantilena! Ali khó, ní ngoma yá yena yá khéle! Ex.: Insistam, acabará por ceder. Míku khó, átáze ápfumelá. b) (pôr ou fazer instância, argumentando; questionar) kukánélá, kukánétá v. i., kuxálúdzá v. i. (fig.) [cf. neutralizar], kutlhava mhaká v. i. (idiom.). c) (ser necessário ou urgente) kubóhá, kufánélá, kúkómbélá, kulávéká v. i.",20251122
azul,adj. 2 gen. -á wási; -á nkuxé loc. adj. 2. s. m. a) (a cor azul) wasi (ri-ma). b) (a cor azul-esverdeada) nkuxé (mu-mi).,20251123
luz,"s. f. kuvonakala (ku), rivoningo (ri-ti). || [luz artificial]: gezi (ri-ma). (1) gas.",20251124
avançar,"v. t. a) (fazer ir para diante; fazer adiantar) kurhángísá, kuyisá máhlwéni, kuyisá phámbheni v. caus. b) (superar, exceder) kutlúlá, kurhángélá v. t. c) (ir além de (o ponto permitido ou convencionado); ultrapassar) kuhundza, kunlhúlá v. t. 2. v. i. a) (andar para a frente; adiantar-se) kurhángá v. i. b) (progredir) kuphókóphéla | kupfókópféla kuyá máhlwéni, kuyá phámbheni v. i. || [avançar ou subir, como uma seta]: kutúmá v. t. c) (decorrer, passar (o tempo)) kuhundza, kunlhúlá v. i. d) (ganhar terreno) kumpfempfa v. i.",20251125
nuvem,"s. f. papa, refu (ri-ma), ntingajambu (mu-mi).",20251126
praticar,"1. v. t. a) (levar a efeito; cometer, executar) kuyendla kuyenca, kumaha v. t. b) (actuar em; exercer) kutirha v. t. c) (fazer (determinado desporto, ou modalidade desportiva)) kuyendla v. t. d) (treinar, procurar adquirir prática ou experiência) kutitólóvéta v. pron., kupratikara v. t. (P). 2. v. i. (adquirir experiência) kutólóvéla v. i.",20251127
validar,"v. t. kutíyísá v. caus., kufunga; kupfúxétá v. t.",20251128
apoiar,"v. t. a) (ajudar, defender) kusékétéla, kusékélá, kuyímélá, kupfuna v. t., kupoyara, kuapoyara v. t. (P). b) (encostar contra) kukhégétéla | kukhígétéla, kugimeta, kugenetela kugemeta | kugenetela v. t. || [apoiar, por exemplo, a panela ao lume com pedras para não cair]: kukúngétá, kutlhiva; kuqaka v. t. 2. v. pron. kutisékétéla v. pron., kukhégélá | kukhígélá v. i.",20251129
pedra,s. f. ribze rigwe (ri-ma) (plural: maribze/mabze; marigwe). || [pedra preciosa]: ribze ra nkoka (ri-ma).,20251130
pagar,"1. v. t. a) (satisfazer (dívida, encargo, etc.); satisfazer o preço ou valor de) kuhakela v. t., kubatala v. t. (A) betaal. || [pagar renda, quota]: kubatala v. t. (A) betaal. || [pagar multa]: kuhlawula v. t., kuhakela multa v. i. (P) multa. || [pagar uma bebida a alguém]: kub'ambhela, kuchelela v. t., kupaga v. t. (P). b) (remunerar, gratificar) kuholela; kutlangela v. t.. c) (recompensar; retribuir) kurihela v. t.. d) (sofrer vingança, desforra, em consequência de; sofrer as consequências de) kuriha v. t.. e) (restituir, na mesma espécie) kutlhelisela v. t.. 2. v. i. a) (desobrigar-se de compromissos; satisfazer, reembolsar alguém do que lhe é devido) kuhakela, kuriha v. i.. b) (desembolsar dinheiro) kutlangela v. i.. c) (sofrer consequências; expiar uma culpa) kuriha v. i.. 3. v. pron. a) (receber a paga ou recompensa) kuhola v. i.. b) (descontar, do que se há de entregar, a parte que lhe é devida) kutilawula v. pron.. c) (contentar-se) kutiphina, kutikhorisa v. pron.",20251201
mimo,"s. m. a) (coisa delicada, que se oferece ou dá; prenda) xihíwa (xi-svi) . b) (delicadeza, gentileza) vunene, vunakulobze (vu) . c) (carícia, afago) kunyanga (ku), nsvosvelo, nyangu (mu-mi) . d) (pessoa ou coisa delicada, encantadora) mbhuri (yi-ti) . e) (primor, perfeição) rixaladza, rinkaho (ri-ti). || [mimos]: kuhena, kunyenyela, kunyenyelisa (ku), vunyenyeti, vunyenyelisi (vu), xinyenyenyeliso (xi-svi).",20251202
meio,"1. s. m. a) (ponto equidistante dos extremos; lugar que dista igualmente de todos os pontos a seu redor, centro) xikarhi | makarhi, ndzeni, phakathi adv. . b) (lugar onde se vive, ambiente) ndhawu leyihirhendzeleke (yi-ti), whanyelo, vurhurhelo (vu) . c) (recurso(s) empregado(s) para alcançar um objetivo; método) rhengu (ri-ma), ndlela (yi-ti) . d) (maneira de agir; modo) mayendlela mayencela, mamahela (ma) . e) (poder para praticar uma acção, capacidade) matimba (ma), ntamu (mu-mi). 2. num. (metade de um) hamfu (yi-ti). (1) half. 3. adj. (que indica a metade de um todo) -á hamfu loc. adj.. 4. adv. (por metade, não totalmente) -nyana part.dim.. Ex.: meio cansado -á kukarhalanyana.",20251203
recordar,"1. v. t. (fazer lembrar-se de) kurímúxá, kutsúndzúxá, kukhúmbúzá, kuyanakanyisa v. caus. 2. v. i. kurímúká, kutsúndzúká, kuyanakanya, kukhúmbúká, kukhúmbúlá, kuyanakanya v. i.",20251204
compartilhar,v. t. kuhlengela v. t.,20251205
iluminar,v. t. kuvoninga v. t.,20251206
vencer,"1. v. t. a) (derrotar) kuhlúlá v. t. || [vencer num jogo, num concurso]: kupsínxá, kupálá v. t., kuhúméléla v. i., kuwina v. t. (l) win. b) (refrear, reprimir) kucívá, kufúmá v. t. c) (dominar) kukótá, kufúmá v. t. d) (percorrer, ultrapassando) kufámbá v. t. e) (ganhar como vencimento) kuhola v. t. 2. v. i. (alcançar vitória) kuhlúlá, kuhúméléla v. i.",20251207
construir,v. t. kuyáká v. t.,20251208
evidenciar,v. t. kukombísá; kudlúnyátá v. caus. 2. v. pron. kutikómbá v. pron.,20251209
feliz,adj. 2 gen. -á kútsáka; -á njombó loc. adj.,20251210
curtir,"v. t. a) kuchuka v. t. (Diz-se das peles). b) (desfrutar, deleitar-se) kukurtira v. t. (P), kutiphíná v. pron. c) (fazer farra) kumapándzá, kumadavúla v. i.",20251211
cooperar,"v. t. a) (operar simultaneamente; colaborar) kutirhisana, kupfúnétána v rec. kuhlengela v. t. b) (ajudar; participar) kupfúnétá v. t. 2. v. i. (ajudar; colaborar) kupfúnétá v. i.",20251212
hoje,"adv. a) namúntlha | nyamúntlha adv. b) (na época que corre, actualmente) masíkú lawa (loc. adv., namúntlha adv).",20251213
puro,"adj. -á kúbása, á kuténgá loc. adj. || [coisa pura, sem mistura]: nyóndzoma (yi-ti). (Ro). Ex.: lingua pura; (individui) changana puro rirímí rá nyóndzoma; muchangana wá nyóndzoma. || [bebida pura, sem mistura]: rigaga (ri-ma). (Diz-se de bebida pura, sem mistura). Ex.: aguardente pura sope rá rígága.",20251214
ligar,"v. t. a) (fazer aderir, pegar) kukhománisa v. caus. . b) (pôr contiguo, ligar pelas pontas) kutlhavinyeta, kukhuleketa v. t. . c) (pôr em comunicação) kuhlanganisa | kutlhanganisa v. caus. . d) (misturar) kupfangá, kukatsa, kupatsa, kudivanisa v. t.. e) (dar atenção) kulondzisa, kukaxa, kunaka v. t., kutendera, kuligara v. t. (P). atender.. f) (pôr em funcionamento (sistema elétrico), abrir) kutlhavika, kulumeka v. t., kulayitha v. t. (1) light.. g) (pôr em funcionamento (um motor)) kudumisa v. caus., kustata v. i. (1) start.",20251215
doce,"adj. a) -á kútsómbéla-á kútsókótsa, á kútsókótséla, á kúlómbéla loc. adj. b) (terno, meigo; brando) -á rirhándzú, -á kukhómá mbilú; -á kunábzála loc. adj. 2. s. m. (rebuçado) xidónsana (xi-svi), dósi (ri-ma). (P).",20251216
transformar,"1. v. t. kuhundzula, kundzúlútá v. caus., kucinca v. t. (l) change. 2. v. pron. (transformar-se) kuhundzuka | kundzúlúká v. neutr. pass., kucinca v. i.",20251217
produzir,"v. t. a) (ter como consequência ou resultado; causar, originar) kuvanga, kutsámbá, kutumbuluxa; kupsálá v. t. b) (dar como proveito ou rendimento; render) kubindzula v. t. c) (fabricar) kukhándhá, kuhámbá, kumáká v. t.",20251218
suportar,"v. t. a) (sustentar, apoiar) kuseketela, kupfuna v. t.. b) (aguentar) kubzatsha, kurhwálá, kupfumela v. t., kugwenta v. t. (P) aguentar.",20251219
bater,"v. t. a) kubá v. t. || [bater com o lado do punho, com o polegar para fora]: kudzina, kukhindla v. t. & i. || [bater com os nós dos dedos, dar um carolo]: kurónyá (gótwana) | kufónyá (gótwana) v. t. b) (bater (em porta ou janela) com os nós dos dedos) kubá, kugóngóndzá v. t. c) (contundir) kufúndúrá, kukíngindza, kupímbíndzá, kumúkúlá v. t. (A) moker. || [bater com a cabeça contra qualquer coisa a baixa altura (por exemplo, o lintel de uma porta baixa)]: kudliva v. t. || [bater a casca de uma árvore para se lhe extrair as fibras]: kub'éthá. || [bater (a) mesa]: (Moç.) (subornar) kubá táfúla v. i. kutsakamisa v. caus. Ex.: Vai bater mesa naquele cinzentinho... Fámba úyatsákámísá xiphóyisána lexíya... Lit.: Vai molhar aquele cinzentinho... 2. v. i. (palpitar, pulsar; soar, dar (horas)) kubá v. i. || [bater palmas]: kuwomba, kuwombela, kubá mavókó v. i. || [bater em retirada]: kuhlehla v. i. || [bater as asas]: kukúputa; kubáléká v. i. || [bater mato, por exemplo para levantar a caça, ou para espantar gafanhotos na machamba); na caça, percorrer (terreno, mato, caminho, etc.) em observação, exploração]: kubúlá v. i., kubúlélá v apl. 3. v. pron. a) (lutar) kulwa v. i. b) (pôr-se de viagem; mandar-se) kubá róda; kukhómá ndléla v. i.",20251220
perceber,"v. t. a) (entender) kutwá, kutwísísá v. t. b) (notar, ver) kuvóná, kuxíyá v. t.",20251221
ensinar,"v. t. kujóndzísa, kufúndhísá v. t.",20251222
agradecer,"v. t. kukhensa, kutlángélá, kuvonga | kub'onga v. t. (Z) ukubonga.",20251223
felicitar,v. t. (apresentar parabéns) kufísélá v. t. || [felicitar pelo bom trabalho ou boa acção]: kuxúmísá v. t. [cf. parabéns].,20251224
flor,"s. f. a) xiluva (xi-svi), filóri (ri-ma). (P). || [o conjunto das flores de uma árvore]: vuluva (vu). b) (mulher, menina bela) (fig.) xiluva (xi-svi), filóri (ri-ma). (fig.).",20251225
distribuir,"v. t. kuphakela, kuyavela, kunyikela v. t.",20251226
executar,"v. t. a) (efectuar) kuyendla | kuyenca, kumaha v. t. b) (aplicar a pena de morte a) kutsémélá rifú, kukhatisa hí rifú v. t.",20251227
ouvir,"1. v. t. a) (escutar) kuyingisa, kumamela; kurhiya ndleve v. t.. b) (inquirir (o réu, as testemunhas, os peritos, etc.)) kutwa v. t.. c) (escutar os conselhos, as razões, os votos de) kuyingiseta v. t.. 2. v. i. a) (perceber as coisas pelo sentido da audição, escutar) kuyingisa v. i.. || [ouvir-se, ser audível]: kutwakala, kutwala, kupfuma | kuvhuma v. i.",20251228
guardar,"v. t. a) kuhlayisa, kuvékísá; kuvéká v. t. || [guardar rancor, ruminar vingança]: kubejela v. apl. b) (tomar conta de; proteger) kuvónéléla, kubasopa; kusírhélá v. t. c) (vigiar) kurindza, kubasopa v. t., kugada v. t. (1) guard.",20251229
criar,"v. t. a) (dar existência a; gerar) kutumbuluxa; kuvúmbá v. t. b) (dar origem a, produzir, causar) kuvanga v. t. || [criar empecilhos]: kuwónhíséla, kusápátéla v. t. c) (inventar, imaginar) kutsámbá kuqámbhá v. t. d) (estabelecer, fundar) kusíméká, kusúngúlá v. t. e) (alimentar, sustentar) kuwundla v. t., kukúlísá v. caus. f) (promover, manter procriação de (animais)) kufúyá v. t. g) (cultivar) kubzálá; kurima v. t. h) (adquirir, granjear) kukuma v. t., kutilávélá v. pron. 2. v. i. a) (encher-se de pus (uma ferida)) kuhúmá, kupfundzela v. i. 3. v. pron. a) (nascer, originar-se) kupsálíwá, kuvelekiwa, kutumbuluxiwa v. pass. b) (formar-se, crescer, desenvolver-se) kukúlá v. i.",20251230
